0,date,time,open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
1,2021.01.04,00:00,1.36417,1.36522,1.36392,1.36472,125,1,0,0,0,0,0
2,2021.01.04,00:15,1.36473,1.36628,1.36472,1.36522,86,1,0,0,0,0,0
3,2021.01.04,00:30,1.36522,1.36536,1.36504,1.36526,58,1,0,0,0,0,0
4,2021.01.04,00:45,1.36526,1.36616,1.36526,1.36554,53,1,0,0,0,0,0
5,2021.01.04,01:00,1.36602,1.3665,1.36562,1.36647,964,1,0,0,0,0,0
6,2021.01.04,01:15,1.36647,1.36694,1.36598,1.36688,786,1,0,0,0,0,0
7,2021.01.04,01:30,1.36689,1.36821,1.36676,1.36791,706,1,0,0,0,0,0
8,2021.01.04,01:45,1.3679,1.36835,1.36753,1.36804,1000,1,0,0,0,0,0
9,2021.01.04,02:00,1.36812,1.36833,1.36668,1.36728,1699,0,1,0,1,0,0
10,2021.01.04,02:15,1.3673,1.36733,1.36659,1.36664,1475,0,1,0,1,0,0
11,2021.01.04,02:30,1.36664,1.3668,1.36592,1.36668,1322,1,0,0,1,0,0
12,2021.01.04,02:45,1.36668,1.36779,1.36668,1.36727,1379,1,0,0,1,0,0
13,2021.01.04,03:00,1.36726,1.36786,1.36708,1.36772,1713,1,0,0,1,0,0
14,2021.01.04,03:15,1.3677,1.36832,1.36746,1.36825,1488,1,0,0,1,0,0
15,2021.01.04,03:30,1.36824,1.36899,1.36766,1.36865,1745,1,0,0,1,0,0
16,2021.01.04,03:45,1.36865,1.36895,1.36814,1.36819,1507,0,1,0,1,0,0
17,2021.01.04,04:00,1.3682,1.369,1.36807,1.36869,1640,1,0,0,1,0,0
18,2021.01.04,04:15,1.36871,1.36904,1.36846,1.36876,1447,1,0,0,1,0,0
19,2021.01.04,04:30,1.36878,1.36909,1.36829,1.36889,1177,1,0,0,1,0,0
20,2021.01.04,04:45,1.3689,1.36948,1.36878,1.36924,1030,1,0,0,1,0,0
21,2021.01.04,05:00,1.36928,1.36949,1.36896,1.3693,917,1,0,0,1,0,0
22,2021.01.04,05:15,1.36929,1.36954,1.3691,1.36945,666,1,0,0,1,0,0
23,2021.01.04,05:30,1.36944,1.36955,1.36926,1.36954,852,1,0,0,1,0,0
24,2021.01.04,05:45,1.36956,1.36965,1.36938,1.36954,855,0,1,0,1,0,0
25,2021.01.04,06:00,1.36955,1.36982,1.36938,1.36976,577,1,0,0,1,0,0
26,2021.01.04,06:15,1.36975,1.3698,1.36845,1.36848,861,0,1,0,1,0,0
27,2021.01.04,06:30,1.3685,1.36862,1.36759,1.36801,1058,0,1,0,1,0,0
28,2021.01.04,06:45,1.36804,1.36824,1.36783,1.36805,582,1,0,0,1,0,0
29,2021.01.04,07:00,1.36806,1.36829,1.36795,1.36799,809,0,1,0,1,0,0
30,2021.01.04,07:15,1.36804,1.36804,1.36679,1.36717,880,0,1,0,1,0,0
31,2021.01.04,07:30,1.3672,1.36795,1.36716,1.36761,852,1,0,0,1,0,0
32,2021.01.04,07:45,1.36762,1.36859,1.36739,1.36833,1125,1,0,0,1,0,0
33,2021.01.04,08:00,1.36834,1.36864,1.36762,1.36763,1390,0,1,0,1,0,0
34,2021.01.04,08:15,1.36765,1.36788,1.36738,1.36748,983,0,1,0,1,0,0
35,2021.01.04,08:30,1.36751,1.36832,1.36751,1.36815,1070,1,0,0,1,0,0
36,2021.01.04,08:45,1.36814,1.36859,1.36805,1.36847,1009,1,0,0,1,0,0
37,2021.01.04,09:00,1.36851,1.36979,1.3685,1.36966,1515,1,0,0,1,0,0
38,2021.01.04,09:15,1.36967,1.37029,1.36885,1.36925,1206,0,1,0,1,0,0
39,2021.01.04,09:30,1.36931,1.37005,1.36864,1.36974,1497,1,0,0,1,0,0
40,2021.01.04,09:45,1.36981,1.3703,1.36794,1.36873,2013,0,1,0,1,0,0
41,2021.01.04,10:00,1.36874,1.36958,1.36757,1.36767,2429,0,1,0,1,1,0
42,2021.01.04,10:15,1.36763,1.36847,1.36717,1.36791,2769,1,0,0,1,1,0
43,2021.01.04,10:30,1.36791,1.369,1.3677,1.36895,2553,1,0,0,1,1,0
44,2021.01.04,10:45,1.36903,1.36927,1.36833,1.36903,1741,0,0,1,1,1,0
45,2021.01.04,11:00,1.36906,1.36963,1.36771,1.36775,1762,0,1,0,0,1,0
46,2021.01.04,11:15,1.36775,1.36897,1.36773,1.36805,2073,1,0,0,0,1,0
47,2021.01.04,11:30,1.36803,1.36821,1.36719,1.36765,1704,0,1,0,0,1,0
48,2021.01.04,11:45,1.36767,1.36773,1.36643,1.36727,2249,0,1,0,0,1,0
49,2021.01.04,12:00,1.36726,1.36833,1.36706,1.36828,1898,1,0,0,0,1,0
50,2021.01.04,12:15,1.36832,1.36852,1.36751,1.36826,1461,0,1,0,0,1,0
51,2021.01.04,12:30,1.36827,1.36885,1.36769,1.36869,1522,1,0,0,0,1,0
52,2021.01.04,12:45,1.36868,1.36965,1.36856,1.36928,1635,1,0,0,0,1,0
53,2021.01.04,13:00,1.36927,1.37037,1.36885,1.36911,1763,0,1,0,0,1,0
54,2021.01.04,13:15,1.36912,1.36912,1.36824,1.36833,1586,0,1,0,0,1,0
55,2021.01.04,13:30,1.36834,1.3684,1.36743,1.36761,1635,0,1,0,0,1,0
56,2021.01.04,13:45,1.36757,1.36833,1.36643,1.36698,1898,0,1,0,0,1,0
57,2021.01.04,14:00,1.36696,1.36703,1.36456,1.36568,2489,0,1,0,0,1,0
58,2021.01.04,14:15,1.36568,1.36661,1.36518,1.36638,1720,1,0,0,0,1,0
59,2021.01.04,14:30,1.36636,1.36705,1.36542,1.36549,1774,0,1,0,0,1,0
60,2021.01.04,14:45,1.3655,1.36614,1.36499,1.3654,1733,0,1,0,0,1,0
61,2021.01.04,15:00,1.36539,1.3657,1.36358,1.36378,2367,0,1,0,0,1,1
62,2021.01.04,15:15,1.36378,1.36407,1.36136,1.36248,2528,0,1,0,0,1,1
63,2021.01.04,15:30,1.36252,1.36381,1.36238,1.36336,2181,1,0,0,0,1,1
64,2021.01.04,15:45,1.36334,1.36375,1.3623,1.3626,2033,0,1,0,0,1,1
65,2021.01.04,16:00,1.36264,1.36315,1.36225,1.36272,2112,1,0,0,0,1,1
66,2021.01.04,16:15,1.36271,1.36316,1.36195,1.36266,1996,0,1,0,0,1,1
67,2021.01.04,16:30,1.36267,1.36303,1.36052,1.36233,2783,0,1,0,0,1,1
68,2021.01.04,16:45,1.36234,1.36318,1.3602,1.36077,2946,0,1,0,0,1,1
69,2021.01.04,17:00,1.3608,1.3608,1.3575,1.35916,3027,0,1,0,0,1,1
70,2021.01.04,17:15,1.35916,1.35968,1.35664,1.35673,2264,0,1,0,0,1,1
71,2021.01.04,17:30,1.35669,1.35793,1.35612,1.35754,2894,1,0,0,0,1,1
72,2021.01.04,17:45,1.35753,1.35852,1.35634,1.35773,3102,1,0,0,0,1,1
73,2021.01.04,18:00,1.35772,1.35874,1.35703,1.35841,2992,1,0,0,0,1,1
74,2021.01.04,18:15,1.35841,1.35959,1.35794,1.35903,2447,1,0,0,0,1,1
75,2021.01.04,18:30,1.35902,1.35917,1.3563,1.35636,2490,0,1,0,0,1,1
76,2021.01.04,18:45,1.35637,1.35648,1.35494,1.35501,2116,0,1,0,0,1,1
